Num;AvgWait;DesvPad;TimeStamp
0;0;0;12:03:47
0;0;0;12:03:48
1;0.0;0;12:03:49
1;0.0;0;12:03:50
1;0.0;0;12:03:51
2;0.0;0;12:03:52
3;0.0;0;12:03:53
2;0.0;0;12:03:54
2;0.0;0;12:03:55
1;0.0;0;12:03:56
1;0.0;0;12:03:57
1;0.0;0;12:03:58
2;0.0;0;12:03:59
3;0.0;0;12:04:00
3;0.0;0;12:04:01
3;0.0;0;12:04:02
3;0.0;0;12:04:03
3;0.0;0;12:04:04
4;0.0;0;12:04:05
4;0.0;0;12:04:06
5;0.0;0;12:04:07
5;0.0;0;12:04:08
5;0.0;0;12:04:09
5;0.0;0;12:04:10
5;0.0;0;12:04:12
5;0.0;0;12:04:13
6;0.0;0;12:04:14
6;0.0;0;12:04:15
7;0.0;0;12:04:16
8;0.0;0;12:04:17
6;0.0;0;12:04:18
4;0.0;0;12:04:19
3;0.0;0;12:04:20
2;0.0;0;12:04:21
2;0.0;0;12:04:22
2;0.0;0;12:04:23
1;0.0;0;12:04:24
1;0.0;0;12:04:25
1;0.0;0;12:04:26
1;0.0;0;12:04:27
1;0.0;0;12:04:28
1;0.0;0;12:04:29
2;0.0;0;12:04:30
2;0.0;0;12:04:31
3;0.0;0;12:04:32
3;0.0;0;12:04:33
3;0.0;0;12:04:34
3;0.0;0;12:04:35
3;0.0;0;12:04:36
3;0.0;0;12:04:37
3;0.0;0;12:04:38
3;0.0;0;12:04:39
3;0.0;0;12:04:40
3;0.0;0;12:04:42
3;0.0;0;12:04:43
3;0.0;0;12:04:44
3;0.0;0;12:04:45
3;0.0;0;12:04:46
3;0.0;0;12:04:47
4;0.0;0;12:04:48
4;0.0;0;12:04:49
4;0.0;0;12:04:50
5;0.0;0;12:04:51
6;0.0;0;12:04:52
6;0.0;0;12:04:53
6;0.0;0;12:04:54
7;0.0;0;12:04:55
7;0.0;0;12:04:56
7;0.0;0;12:04:57
7;0.0;0;12:04:58
7;0.0;0;12:04:59
7;0.0;0;12:05:00
8;0.0;0;12:05:01
8;0.0;0;12:05:02
8;0.0;0;12:05:03
9;0.0;0;12:05:04
10;0.0;0;12:05:05
10;0.0;0;12:05:06
10;0.0;0;12:05:07
10;0.0;0;12:05:08
11;0.0;0;12:05:09
11;0.0;0;12:05:10
12;0.0;0;12:05:12
12;0.0;0;12:05:13
12;0.0;0;12:05:14
12;0.0;0;12:05:15
12;0.0;0;12:05:16
12;0.0;0;12:05:17
12;0.0;0;12:05:18
12;0.0;0;12:05:19
12;0.0;0;12:05:20
12;0.0;0;12:05:21
12;0.0;0;12:05:22
12;0.0;0;12:05:23
13;0.0;0;12:05:24
13;0.0;0;12:05:25
13;0.0;0;12:05:26
14;0.0;0;12:05:27
15;0.0;0;12:05:28
15;0.0;0;12:05:29
15;0.0;0;12:05:30
15;0.0;0;12:05:31
15;0.0;0;12:05:32
13;0.0;0;12:05:33
9;0.0;0;12:05:34
5;0.0;0;12:05:35
4;0.0;0;12:05:36
2;0.0;0;12:05:37
0;0;0;12:05:38
0;0;0;12:05:39
0;0;0;12:05:40
0;0;0;12:05:41
1;0.0;0;12:05:43
2;0.0;0;12:05:44
3;0.0;0;12:05:45
3;0.0;0;12:05:46
4;0.0;0;12:05:47
5;0.0;0;12:05:48
5;0.0;0;12:05:49
5;0.0;0;12:05:50
5;0.0;0;12:05:51
5;0.0;0;12:05:52
5;0.0;0;12:05:53
5;0.0;0;12:05:54
5;0.0;0;12:05:55
5;0.0;0;12:05:56
5;0.0;0;12:05:57
6;0.0;0;12:05:58
6;0.0;0;12:05:59
7;0.0;0;12:06:00
7;0.0;0;12:06:01
8;0.0;0;12:06:02
